sensor1,sensor2,sensor3
2222.65,8341.91,1.02
2211.57,8303.96,1.02
1915.11,8001.42,0.94
2211.58,8303.96,1.02
1915.1,7993.23,0.94
1915.15,7996.1,0.94
2211.62,8307.75,1.02
2323.87,8709.12,1.08
2211.61,8312.33,1.02
2211.56,8302.31,1.02
2211.59,8301.22,1.02
2388.12,9038.84,1.3
2323.87,8710.39,1.08
2211.59,8312.22,1.02
2318.87,8765.1,1.26
2222.76,8336.74,1.02
1915.12,8005.82,0.94
2222.7,8336.57,1.02
2211.59,8300.02,1.02
2323.94,8708.9,1.08
2211.59,8303.44,1.02
2211.58,8300.2,1.02
2211.59,8300.28,1.02
2211.59,8308.75,1.02
2211.59,8306.69,1.02
2211.71,8308.9,1.02
1915.13,7998.23,0.94
2388.13,9037.52,1.3
2388.1,9039.24,1.3
2323.89,8713.7,1.08
2318.93,8760.33,1.26
2318.93,8763.76,1.26
2388.11,9039.84,1.3
2388.15,9036.68,1.3
2319.01,8765.65,1.26
1915.18,7998.94,0.94
2318.93,8764.83,1.26
1915.16,8003.33,0.94
1915.13,7994.34,0.94
2318.94,8770.13,1.26
1915.12,7997.12,0.94
2222.69,8335.88,1.02
2211.61,8309.94,1.02
2388.16,9037.76,1.3
2222.66,8338.36,1.02
2211.61,8309.66,1.02
2318.95,8763.1,1.26
2388.16,9037.94,1.3
2211.6,8305.4,1.02
2222.7,8335.17,1.02
1915.11,7995.32,0.94
2211.53,8298.45,1.02
2318.99,8759.83,1.26
2388.1,9034.62,1.3
2388.12,9043.32,1.3
2211.57,8304.33,1.02
2323.93,8713.81,1.08
2222.67,8334.28,1.02
2211.56,8303.55,1.02
1915.12,7999.59,0.94
2323.98,8707.14,1.07
2388.14,9040.41,1.3
2211.53,8311.01,1.02
2222.73,8340.5,1.02
2388.18,9040.81,1.3
2222.68,8341.42,1.02
2318.99,8763.55,1.26
2388.1,9043.13,1.3
2388.15,9042.91,1.3
2211.62,8303.98,1.02
2323.93,8712.14,1.08
1915.1,7996.85,0.94
1915.13,8004.96,0.94
2323.95,8704.89,1.08
1915.07,7995.45,0.94
1915.11,8003.74,0.94
2211.59,8304.05,1.02
1915.15,8000.19,0.94
2211.6,8303.68,1.02
2211.57,8304.73,1.02
2323.94,8708.2,1.08
2388.2,9039.16,1.3
2211.6,8301.72,1.02
2211.59,8300.56,1.02
2388.1,9041.37,1.3
2211.6,8307.89,1.02
2211.56,8309.33,1.02
2222.68,8338.97,1.02
2319.06,8763.25,1.26
2388.13,9041.44,1.3
1915.11,8001,0.94
2211.59,8317.33,1.02
2323.95,8717.43,1.08
2211.61,8305.16,1.02
2222.64,8339.32,1.02
2211.54,8308.02,1.02
2211.66,8314.36,1.02
2388.13,9048.15,1.3
2319.04,8763.64,1.26
2323.93,8704.26,1.08
